School,AA,Code,Codename,1st,2nd,3rd,4th,5th,6th,7th,8th+,
Miraloma,y,GEN,General,93,80,89,93,86,75,70,554,
Ortega,y,GEN,General,17,23,14,15,15,11,11,312,
Ortega,n,IMMM,Chinese Immersion,70,23,14,28,17,8,7,198,
Monroe,y,GEN,General,23,45,19,29,14,10,12,200,
Monroe,n,CHN,Bilingual Chinese,25,18,9,6,7,2,4,15,
New Traditions,y,GEN,General,40,39,49,63,57,63,51,534,
Montessori,y,GEN,General,41,22,39,29,28,29,23,372,
Moscone,y,GEN,General,12,24,10,8,4,6,1,189,
Moscone,n,CHN,Bilingual Chinese,11,4,3,1,0,1,0,6,
Moscone,n,SPN,Bilingual Spanish,36,26,24,14,5,3,4,9,
Muir,y,GEN,General,10,6,5,2,5,1,1,124,
Muir,n,SPN,Bilingual Spanish,11,4,3,2,2,0,0,1,
